first_name,last_name,full_name,email,email_type,company,country,lead_source,lead_score,lead_priority,lead_status,assigned_to,notes
Bambie,Strotone,Bambie Strotone,bambie.strotone@example.com,business_email,Pixonyx,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Zorah,Bools,Zorah Bools,zorah.bools@example.com,business_email,Lazzy,Bangladesh,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Oralee,Oldfield-Cherry,Oralee Oldfield-Cherry,oralee.oldfield-cherry@example.com,business_email,Nan,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Del,Champain,Del Champain,del.champain@example.com,business_email,Youspan,Philippines,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ramsay,Ladyman,Ramsay Ladyman,ramsay.ladyman@example.com,business_email,Trilith,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Wallis,Dreelan,Wallis Dreelan,wallis.dreelan@example.com,business_email,Zooxo,Greece,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Rosemonde,Kennedy,Rosemonde Kennedy,rosemonde.kennedy@example.com,business_email,Riffpath,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Benson,Pipkin,Benson Pipkin,benson.pipkin@example.com,business_email,Vimbo,France,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Hebert,Edmunds,Hebert Edmunds,hebert.edmunds@example.com,business_email,Nan,Greece,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Cazzie,Mewitt,Cazzie Mewitt,cazzie.mewitt@example.com,business_email,Realmix,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Dorie,Mcharry,Dorie McHarry,dorie.mcharry@example.com,business_email,Edgepulse,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Tiena,Jovicic,Tiena Jovicic,tiena.jovicic@example.com,business_email,Tagfeed,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Nikolos,Splain,Nikolos Splain,nikolos.splain@example.com,business_email,Fanoodle,Bosnia And Herzegovina,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Nataline,Keeling,Nataline Keeling,nataline.keeling@example.com,business_email,Nan,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Margarethe,Siddaley,Margarethe Siddaley,margarethe.siddaley@example.com,business_email,Meezzy,Philippines,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Raye,Burker,Raye Burker,raye.burker@example.com,business_email,Mybuzz,Maldives,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Zebedee,Mccathy,Zebedee McCathy,zebedee.mccathy@example.com,business_email,Yata,Vietnam,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Esther,Itzkov,Esther Itzkov,esther.itzkov@example.com,business_email,Skinte,Mexico,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Mickie,Bernardinelli,Mickie Bernardinelli,mickie.bernardinelli@example.com,business_email,Jabbertype,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Tyrone,Kuscha,Tyrone Kuscha,tyrone.kuscha@example.com,business_email,Babbleopia,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Sylvia,Trobey,Sylvia Trobey,sylvia.trobey@example.com,business_email,Fiveclub,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Genni,Howorth,Genni Howorth,genni.howorth@example.com,business_email,Katz,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Nelle,Lydden,Nelle Lydden,nelle.lydden@example.com,business_email,Reallinks,Vietnam,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Page,Bartoszek,Page Bartoszek,page.bartoszek@example.com,business_email,Pixonyx,Argentina,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Britt,Geffinger,Britt Geffinger,britt.geffinger@example.com,business_email,Dabtype,France,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Emmet,Osinin,Emmet Osinin,emmet.osinin@example.com,business_email,Innoz,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Evania,Iacovolo,Evania Iacovolo,evania.iacovolo@example.com,business_email,Gabcube,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Wallis,Chestle,Wallis Chestle,wallis.chestle@example.com,business_email,Nan,United States,Website Linkedin Cold Email Referral Conference Purchased List,100,High,New,,
Antony,Sharrem,Antony Sharrem,antony.sharrem@example.com,business_email,Skinix,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Herman,Adne,Herman Adne,herman.adne@example.com,business_email,Tekfly,Bosnia And Herzegovina,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Gaylord,Lammertz,Gaylord Lammertz,gaylord.lammertz@example.com,business_email,Dabshots,Sweden,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Pauli,Senton,Pauli Senton,pauli.senton@example.com,business_email,Nan,Poland,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Philippine,Storry,Philippine Storry,philippine.storry@example.com,business_email,Talane,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ichabod,Hanscombe,Ichabod Hanscombe,ichabod.hanscombe@example.com,business_email,Nan,Czech Republic,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Dreddy,Attersoll,Dreddy Attersoll,dreddy.attersoll@example.com,business_email,Ozu,Sweden,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Marthe,O'Hallihane,Marthe O'Hallihane,marthe.o'hallihane@example.com,business_email,Jazzy,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Scottie,Shelper,Scottie Shelper,scottie.shelper@example.com,business_email,Zoomcast,United States,Website Linkedin Cold Email Referral Conference Purchased List,100,High,New,,
Dahlia,Jamison,Dahlia Jamison,dahlia.jamison@example.com,business_email,Thoughtmix,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Jillie,Brasse,Jillie Brasse,jillie.brasse@example.com,business_email,Edgeclub,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Marcelline,Gehring,Marcelline Gehring,marcelline.gehring@example.com,business_email,Nlounge,Philippines,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Marlyn,Adne,Marlyn Adne,marlyn.adne@example.com,business_email,Gabspot,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Taite,Vose,Taite Vose,taite.vose@example.com,business_email,Babblestorm,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Kendricks,Ferenc,Kendricks Ferenc,kendricks.ferenc@example.com,business_email,Oyoyo,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Cathi,Fallis,Cathi Fallis,cathi.fallis@example.com,business_email,Blogspan,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Luise,Blakelock,Luise Blakelock,luise.blakelock@example.com,business_email,Nan,Moldova,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Germain,Milmore,Germain Milmore,germain.milmore@example.com,business_email,Skiba,Panama,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Nina,Whales,Nina Whales,nina.whales@example.com,business_email,Demizz,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Roderich,Willshire,Roderich Willshire,roderich.willshire@example.com,business_email,Dabz,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Aimee,Dimitriades,Aimee Dimitriades,aimee.dimitriades@example.com,business_email,Twitterbridge,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Christyna,Clarke,Christyna Clarke,christyna.clarke@example.com,business_email,Edgeclub,Ukraine,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Robin,Vieyra,Robin Vieyra,robin.vieyra@example.com,business_email,Katz,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Cash,Kilby,Cash Kilby,cash.kilby@example.com,business_email,Mynte,Sudan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Harp,Jent,Harp Jent,harp.jent@example.com,business_email,Skalith,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Janith,Pedden,Janith Pedden,janith.pedden@example.com,business_email,Thoughtworks,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Rubetta,Ugo,Rubetta Ugo,rubetta.ugo@example.com,business_email,Jabbertype,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Adore,Francomb,Adore Francomb,adore.francomb@example.com,business_email,Nan,Canada,Website Linkedin Cold Email Referral Conference Purchased List,100,High,New,,
Devland,Tumpane,Devland Tumpane,devland.tumpane@example.com,business_email,Skiba,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Garreth,Aubin,Garreth Aubin,garreth.aubin@example.com,business_email,Meedoo,South Africa,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Merlina,Fance,Merlina Fance,merlina.fance@example.com,business_email,Voonix,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Otto,Cockayme,Otto Cockayme,otto.cockayme@example.com,business_email,Aimbu,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Joya,Sture,Joya Sture,joya.sture@example.com,business_email,Fadeo,Japan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Pamelina,Wheatland,Pamelina Wheatland,pamelina.wheatland@example.com,business_email,Blognation,France,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Shalne,Walsom,Shalne Walsom,shalne.walsom@example.com,business_email,Livetube,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Sharline,Zannelli,Sharline Zannelli,sharline.zannelli@example.com,business_email,Thoughtstorm,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Fina,Topper,Fina Topper,fina.topper@example.com,business_email,Kwinu,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Florencia,Mattinson,Florencia Mattinson,florencia.mattinson@example.com,business_email,Nan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Zachery,Geddes,Zachery Geddes,zachery.geddes@example.com,business_email,Gigaclub,Bulgaria,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ezekiel,Magarrell,Ezekiel Magarrell,ezekiel.magarrell@example.com,business_email,Jetwire,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Mackenzie,Fandrey,Mackenzie Fandrey,mackenzie.fandrey@example.com,business_email,Gigashots,Nigeria,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Torrie,Tuberfield,Torrie Tuberfield,torrie.tuberfield@example.com,business_email,Browsezoom,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Beau,Le Blanc,Beau Le Blanc,beau.le blanc@example.com,business_email,Youspan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Clim,Lackemann,Clim Lackemann,clim.lackemann@example.com,business_email,Dablist,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Nerti,Mccaughey,Nerti McCaughey,nerti.mccaughey@example.com,business_email,Eidel,Argentina,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Lane,Beniesh,Lane Beniesh,lane.beniesh@example.com,business_email,Blogtags,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Carmon,Hourstan,Carmon Hourstan,carmon.hourstan@example.com,business_email,Oodoo,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Noby,Alexsandrov,Noby Alexsandrov,noby.alexsandrov@example.com,business_email,Feedmix,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Harris,Dunkirk,Harris Dunkirk,harris.dunkirk@example.com,business_email,Youfeed,Japan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Eartha,Ascroft,Eartha Ascroft,eartha.ascroft@example.com,business_email,Livefish,Mongolia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Robyn,Garmanson,Robyn Garmanson,robyn.garmanson@example.com,business_email,Nan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Michaelina,Geerdts,Michaelina Geerdts,michaelina.geerdts@example.com,business_email,Pixonyx,Jordan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Chen,Borsnall,Chen Borsnall,chen.borsnall@example.com,business_email,Nan,Lithuania,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Patricio,Auletta,Patricio Auletta,patricio.auletta@example.com,business_email,Tanoodle,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ingunna,Dillingham,Ingunna Dillingham,ingunna.dillingham@example.com,business_email,Oyonder,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Abramo,Schultes,Abramo Schultes,abramo.schultes@example.com,business_email,Mydeo,Malaysia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Terencio,Greenwell,Terencio Greenwell,terencio.greenwell@example.com,business_email,Photojam,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Hale,Brunke,Hale Brunke,hale.brunke@example.com,business_email,Browsetype,Mexico,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Rivalee,Fairholme,Rivalee Fairholme,rivalee.fairholme@example.com,business_email,Edgewire,Poland,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Bibbye,Digwood,Bibbye Digwood,bibbye.digwood@example.com,business_email,Youopia,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Maye,Antonijevic,Maye Antonijevic,maye.antonijevic@example.com,business_email,Tambee,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Aharon,Garth,Aharon Garth,aharon.garth@example.com,business_email,Omba,Poland,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Loleta,Hiscoe,Loleta Hiscoe,loleta.hiscoe@example.com,business_email,Nan,Lithuania,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Stormie,Siege,Stormie Siege,stormie.siege@example.com,business_email,Cogilith,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Tommie,Le Fleming,Tommie Le Fleming,tommie.le fleming@example.com,business_email,Mudo,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Chantal,Pahler,Chantal Pahler,chantal.pahler@example.com,business_email,Buzzster,Germany,Website Linkedin Cold Email Referral Conference Purchased List,100,High,New,,
Madelena,Barry,Madelena Barry,madelena.barry@example.com,business_email,Vipe,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Cissiee,Menendez,Cissiee Menendez,cissiee.menendez@example.com,business_email,Avamba,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ree,Broek,Ree Broek,ree.broek@example.com,business_email,Meemm,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Skippie,Kennaird,Skippie Kennaird,skippie.kennaird@example.com,business_email,Livefish,Mexico,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Neall,Nenci,Neall Nenci,neall.nenci@example.com,business_email,Lajo,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Scotty,Karpmann,Scotty Karpmann,scotty.karpmann@example.com,business_email,Devify,Philippines,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Gilles,Cuming,Gilles Cuming,gilles.cuming@example.com,business_email,Ozu,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Prudi,Bernot,Prudi Bernot,prudi.bernot@example.com,business_email,Nan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Tucker,Eagles,Tucker Eagles,tucker.eagles@example.com,business_email,Linkbridge,Canada,Website Linkedin Cold Email Referral Conference Purchased List,100,High,New,,
Karolina,Keyes,Karolina Keyes,karolina.keyes@example.com,business_email,Jaxspan,Armenia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Mendy,Sanbroke,Mendy Sanbroke,mendy.sanbroke@example.com,business_email,Yambee,Poland,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Vasily,Costen,Vasily Costen,vasily.costen@example.com,business_email,Photobug,Sweden,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Dew,Stable,Dew Stable,dew.stable@example.com,business_email,Leenti,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
